Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2013-01-02,16.612205505371094,16.792842528817417,16.388302274145843,16.75713881786035,560518000
2013-01-03,16.402523040771484,16.63157136489985,16.369239973770377,16.5774106348578,352965200
2013-01-04,15.94564437866211,16.29753820470344,15.910242825897395,16.247310595401558,594333600
2013-01-07,15.85184383392334,16.01523260266168,15.588604218620011,15.794354295338367,484156400
2013-01-08,15.894500732421875,16.093594777872767,15.771657017490847,16.012504772444412,458707200
2013-01-09,15.64609146118164,15.885426756451887,15.61250459651803,15.809480205943103,407604400
2013-01-10,15.840049743652344,15.997689126978319,15.598292069549803,15.992545656109606,601146000
2013-01-11,15.742923736572266,15.89481529942376,15.704193383705423,15.76410359033669,350506800
2013-01-14,15.181640625,15.355620095424676,15.083606087525547,15.209778612094393,734207600
2013-01-15,14.702666282653809,15.09812999343905,14.625811587485023,15.077252327671284,876772400
2013-01-16,15.312956809997559,15.414320140647451,14.9017605133333,14.966510364422787,690804800
2013-01-17,15.209784507751465,15.45396279994599,15.190118773203942,15.440649243090027,453678400
2013-01-18,15.12868881225586,15.195859302085786,15.019761378919029,15.083906869784327,472922800
2013-01-22,15.273019790649414,15.367119580448952,15.026724704329528,15.266665998581484,461546400
2013-01-23,15.552596092224121,15.582248195605722,15.273017963255855,15.39525734551787,861509600
2013-01-24,13.630950927734375,14.091770475642678,13.62338519748696,13.918395351826854,1460852400
2013-01-25,13.309615135192871,13.804322860724108,13.161958986492357,13.666955263708676,1208026400
2013-01-28,13.610677719116211,13.712947583555017,13.187982532280714,13.247589725070716,785517600
2013-01-29,13.866050720214844,13.924448403604545,13.679967994394413,13.873010481756653,571158000
2013-01-30,13.822481155395508,13.997066625833371,13.75198185509041,13.827624624563729,417155200
2013-01-31,13.781933784484863,13.896609050150625,13.766503379617147,13.82701790803804,319334400
2013-02-01,13.725350379943848,13.902658616947337,13.565894806870643,13.891463535873022,539484400
2013-02-04,13.38344669342041,13.795552015620254,13.373764108569613,13.734129329912037,477117200
2013-02-05,13.853035926818848,13.910525443053507,13.380415449283337,13.435786496962928,573347600
2013-02-06,13.838212966918945,14.11506665118181,13.693883982816393,13.81158586345553,593706400
2013-02-07,14.249674797058105,14.303845613517824,13.82055851846453,14.09841942334279,704580800
2013-02-08,14.455409049987793,14.571970026140033,14.250589074644044,14.425584133130878,633158400
2013-02-11,14.606049537658691,14.75852388309253,14.402754202863,14.501662367332312,517490400
2013-02-12,14.2399320602417,14.680612487692951,14.235062555496247,14.593266965322924,609053200
2013-02-13,14.21285343170166,14.414629172604997,14.097509820822792,14.21894031588199,475207600
2013-02-14,14.200069427490234,14.353759570493237,14.121855010442777,14.137071405696473,355275200
2013-02-15,14.004378318786621,14.308715926230319,13.997074060175745,14.268846441645366,391745200
2013-02-19,13.999204635620117,14.082594117013914,13.812343023004011,14.032987241373247,435783600
2013-02-20,13.660173416137695,13.929207118070867,13.658650476529107,13.929207118070867,476302400
2013-02-21,13.575265884399414,13.669915709861739,13.47666080341175,13.573439819232897,447182400
2013-02-22,13.719827651977539,13.743869626296435,13.59170158000987,13.672351579110114,330654800
2013-02-25,13.47605037689209,13.850993414097308,13.469050055411453,13.81234292772407,372579200
2013-02-26,13.663827896118164,13.742042317091093,13.319622356000512,13.50709349099657,501499600
2013-02-27,13.52991771697998,13.769431278444564,13.410618061969373,13.647391307107693,587350400
2013-02-28,13.433442115783691,13.630347476846307,13.433442115783691,13.514091274998094,322515200
2013-03-01,13.100808143615723,13.33545229023924,13.085895680923404,13.329973280785747,552448400
2013-03-04,12.783685684204102,13.031720106709962,12.751729950244613,13.019546338979096,582755600
2013-03-05,13.121196746826172,13.244453318472868,12.80499080493005,12.82720752789702,638433600
2013-03-06,12.95441722869873,13.24627719074285,12.916983302376153,13.223755722315314,460250000
2013-03-07,13.10415267944336,13.147673493677328,12.814423502601027,12.91911546931981,468473600
2013-03-08,13.138848304748535,13.251757168832562,13.044199281649593,13.08041583839446,391482000
2013-03-11,13.326017379760742,13.360712626504837,12.938595657468598,13.078895521454431,474236000
2013-03-12,13.038719177246094,13.356751940814508,13.012546390175167,13.25692948679094,465911600
2013-03-13,13.036284446716309,13.22345164992328,12.945288380174006,13.039328701219823,405549200
2013-03-14,13.16258430480957,13.227711517401687,13.100194158002457,13.172626443142496,303875600
2013-03-15,13.50222396850586,13.519571179008937,13.307143022133543,13.327838424676003,643960800
2013-03-18,13.869254112243652,13.922207554235834,13.427356176016621,13.434964373130354,606197200
2013-03-19,13.831826210021973,14.029036409629125,13.649526847116482,13.984297398178295,526775200
2013-03-20,13.758475303649902,13.927383466068479,13.682695640396657,13.920992645119789,308660800
2013-03-21,13.778258323669434,13.938035360978443,13.69821864876015,13.701870778915927,383255600
2013-03-22,14.057639122009277,14.063420441816024,13.789822773266899,13.834560143995244,395105200
2013-03-25,14.10845947265625,14.302322984183574,14.053679166538364,14.142240444717553,501135600
2013-03-26,14.03420639038086,14.177244090394543,14.01564180189661,14.1650703233006,294294000
2013-03-27,13.758475303649902,13.902122494760098,13.717390061548933,13.89177560611326,331237200
2013-03-28,13.471790313720703,13.750563057315073,13.440139334386963,13.689695851878495,442839600
2013-04-01,13.053328514099121,13.503443430562555,13.017721461462784,13.448662286863758,389732000
2013-04-02,13.080107688903809,13.334228957865685,12.976937054242738,13.013458352059004,529519200
2013-04-03,13.147063255310059,13.308057670956607,13.09593424528309,13.128193915982138,363216000
2013-04-04,13.017114639282227,13.238672387953592,12.941943637578992,13.200935324470837,358447600
2013-04-05,12.879554748535156,12.93281377441764,12.772427195588975,12.919117876541703,383695200
2013-04-08,12.971155166625977,13.01041434351767,12.857942391930123,12.929765174320798,300829200
2013-04-09,12.99459171295166,13.040850407787827,12.865856955757653,12.975723184496825,306614000
2013-04-10,13.259665489196777,13.30136022748009,12.965066881127411,13.028673583475998,375928000
2013-04-11,13.218274116516113,13.32966079572024,13.123015641389566,13.199708721869722,328364400
2013-04-12,13.080412864685059,13.21279891656766,13.058804835775176,13.21279891656766,238613200
2013-04-15,12.777596473693848,13.022283471853232,12.768466149558218,12.995197249918162,317520000
2013-04-16,12.97206974029541,12.983329255984437,12.799510246765234,12.829943852181207,305771200
2013-04-17,12.258702278137207,12.800423536362507,12.115968515993933,12.790379772177893,945056000
2013-04-18,11.931539535522461,12.349698638067487,11.86123725714196,12.32535191917442,666299200
2013-04-19,11.88527774810791,12.161311738983633,11.720021753817734,11.807367287460755,609274400
2013-04-22,12.133009910583496,12.24044217672024,11.907801740531626,11.949494857484959,429920400
2013-04-23,12.3600492477417,12.428524664701891,12.137273344871053,12.294920398156798,664238400
2013-04-24,12.339655876159668,12.637601910134274,11.94523477221678,11.976886565814205,969651200
2013-04-25,12.428518295288086,12.597729529400842,12.386519627653131,12.515254320765616,384837600
2013-04-26,12.696946144104004,12.744726953420379,12.424564243286435,12.472041114807343,764097600
2013-04-29,13.0901517868042,13.196669803487724,12.78216200202314,12.795857082720397,640326400
2013-04-30,13.47544002532959,13.550611803375137,13.149495195724093,13.241709431687404,691538400
2013-05-01,13.369231224060059,13.540877300198945,13.220106620122396,13.526573528243048,506909200
2013-05-02,13.558833122253418,13.652263134305203,13.41001165333619,13.445010017206014,421828400
2013-05-03,13.694564819335938,13.793474633778361,13.669303849225606,13.735040558536655,361300800
2013-05-06,14.021120071411133,14.066465319778137,13.826343058837026,13.868949616086125,496641600
2013-05-07,13.958730697631836,14.17450543761561,13.807779235929232,14.150767404386,483753200
2013-05-08,14.116376876831055,14.162941129620059,13.871994597489742,13.970294922411346,472598000
2013-05-09,13.993223190307617,14.18408013296843,13.956767737461009,14.086354585262626,398487600
2013-05-10,13.876810073852539,14.083291715444599,13.800528814482089,14.029986127945701,334852000
2013-05-13,13.9310302734375,14.027837949060517,13.831773365257314,13.832079314815223,316948800
2013-05-14,13.597726821899414,13.945129417999581,13.545339891598552,13.903772219288008,447118000
2013-05-15,13.13788890838623,13.510106886871684,12.939067467086256,13.453738532852592,741613600
2013-05-16,13.313429832458496,13.413607071551658,12.833070894773375,12.966027284198182,603204000
2013-05-17,13.272995948791504,13.482234492489692,13.204067269655654,13.450373997992848,427904400
2013-05-20,13.569236755371094,13.657159665610129,13.176187094960415,13.231636797923157,451578400
2013-05-21,13.469053268432617,13.647349876309619,13.301785569717172,13.422794348742093,456022000
2013-05-22,13.520829200744629,13.735276162556284,13.424940989732727,13.603544399011472,443038400
2013-05-23,13.545028686523438,13.668182385817701,13.350495480728704,13.35539721817886,353021200
2013-05-24,13.637246131896973,13.652870017359767,13.490503988423423,13.505515156455376,276166800
2013-05-28,13.523588180541992,13.819830084950599,13.50551424462341,13.7827627280056,386145200
2013-05-29,13.631121635437012,13.709241896145093,13.461096196189825,13.479477722726125,330576400
2013-05-30,13.834223747253418,13.923678813776437,13.617632737093261,13.65255679609539,353519600
2013-05-31,13.777551651000977,14.00333263618993,13.770504993731349,13.86240930736192,384302800
2013-06-03,13.807880401611328,13.85812158082416,13.555446616886261,13.808186351217712,372352400
2013-06-04,13.76468563079834,13.921537992934441,13.705866404020881,13.884469004002371,292728800
2013-06-05,13.636017799377441,13.807881320994424,13.593128406379885,13.652560348447548,290589600
2013-06-06,13.432297706604004,13.69392234381122,13.297197183694669,13.647050683737735,416934000
2013-06-07,13.534920692443848,13.578728748463854,13.25797822357118,13.372247944836692,404535600
2013-06-10,13.445466995239258,13.75763869278815,13.381440081554052,13.624376359266646,450153200
2013-06-11,13.405948638916016,13.564026450180753,13.274830392271282,13.348968376929065,286112400
